  QueueTimes | ServiceTimes | SojournTimes

       0.655 |        0.277 |        0.932
       0.865 |        0.266 |        1.131
       1.099 |        0.257 |        1.356
       0.077 |        0.240 |        0.317
       0.212 |        0.316 |        0.528
       0.076 |        0.280 |        0.356
       0.057 |        0.258 |        0.315
       0.215 |        0.930 |        1.145
       1.207 |        0.229 |        1.436
       1.502 |        0.211 |        1.713
       1.529 |        0.209 |        1.737
       1.505 |        0.199 |        1.705
       0.058 |        0.184 |        0.241
       0.056 |        0.178 |        0.233
       0.214 |        0.216 |        0.430
       0.179 |        0.195 |        0.374
       0.260 |        0.190 |        0.450
       0.075 |        0.208 |        0.283
       0.056 |        0.192 |        0.247
       0.207 |        0.202 |        0.409
       0.404 |        0.199 |        0.604
       0.095 |        0.220 |        0.315
       0.206 |        0.183 |        0.389
       0.337 |        0.214 |        0.550
       0.057 |        0.198 |        0.256
       0.054 |        0.190 |        0.244
       0.069 |        0.222 |        0.291
       0.154 |        0.188 |        0.342
       0.208 |        0.216 |        0.424
       0.181 |        0.310 |        0.491
       0.059 |        0.253 |        0.312
       0.067 |        0.238 |        0.305
       0.066 |        0.240 |        0.306
       0.202 |        0.796 |        0.998
       0.504 |        0.210 |        0.714
       0.107 |        0.276 |        0.383
       0.373 |        0.237 |        0.610
       0.210 |        0.228 |        0.438
       0.360 |        0.217 |        0.577
       0.243 |        0.211 |        0.454
       0.222 |        0.215 |        0.437
       0.216 |        0.214 |        0.430
       0.427 |        0.215 |        0.642
       0.325 |        0.207 |        0.532
       0.125 |        0.199 |        0.324
       0.218 |        0.205 |        0.423
       0.350 |        0.197 |        0.546
       0.133 |        0.186 |        0.319
       0.058 |        0.182 |        0.239
       0.161 |        0.185 |        0.346
       0.223 |        0.322 |        0.545
       0.294 |        0.292 |        0.586
       0.102 |        0.276 |        0.378
       0.060 |        0.259 |        0.319
       0.364 |        0.237 |        0.601
       0.211 |        0.241 |        0.452
       0.336 |        0.239 |        0.575
       0.397 |        0.226 |        0.623
       0.057 |        0.209 |        0.266
       0.056 |        0.226 |        0.282
       0.056 |        0.200 |        0.256
       0.055 |        0.184 |        0.239
       0.069 |        0.203 |        0.272
       0.049 |        0.186 |        0.235
       0.049 |        0.187 |        0.237
       0.068 |        0.196 |        0.264
       0.247 |        0.170 |        0.417
       0.172 |        0.203 |        0.375
       0.064 |        0.175 |        0.239
       0.055 |        0.184 |        0.239
       0.163 |        0.177 |        0.340
       0.369 |        0.177 |        0.546
       0.218 |        0.171 |        0.389
       0.055 |        0.173 |        0.229
       0.220 |        0.170 |        0.390
       0.056 |        0.180 |        0.236
       0.225 |        0.174 |        0.399
       0.417 |        0.172 |        0.589
       0.074 |        0.187 |        0.261
       0.054 |        0.162 |        0.217
       0.054 |        0.162 |        0.216
       0.216 |        0.166 |        0.382
       0.225 |        0.168 |        0.392
       0.285 |        0.171 |        0.455
       0.200 |        0.169 |        0.369
       0.166 |        0.181 |        0.348
       0.229 |        0.169 |        0.398
       0.405 |        0.172 |        0.577
       0.183 |        0.188 |        0.370
       0.217 |        0.334 |        0.551
       0.203 |        0.357 |        0.560
       0.240 |        0.422 |        0.662
       0.667 |        0.402 |        1.069
       0.736 |        0.369 |        1.105
       1.140 |        0.352 |        1.493
       1.218 |        0.351 |        1.569
       0.842 |        0.321 |        1.163
       0.073 |        0.320 |        0.393
       0.122 |        0.348 |        0.470
       0.354 |        0.287 |        0.641
       0.067 |        0.286 |        0.353
       0.075 |        0.281 |        0.356
       0.246 |        0.325 |        0.571
       0.062 |        0.284 |        0.346
       0.070 |        0.358 |        0.429
       0.252 |        0.393 |        0.645
       0.673 |        0.400 |        1.073
       0.240 |        0.401 |        0.641
       0.606 |        0.371 |        0.977
       0.537 |        0.390 |        0.927
       0.250 |        0.414 |        0.664
       0.221 |        0.333 |        0.553
       0.249 |        0.333 |        0.581
       0.472 |        0.306 |        0.778
       0.455 |        0.297 |        0.753
       0.836 |        0.318 |        1.153
       1.202 |        0.286 |        1.488
       0.931 |        0.258 |        1.189
       1.135 |        0.254 |        1.389
       0.085 |        0.240 |        0.324
       0.123 |        0.173 |        0.296
       0.057 |        0.168 |        0.225
       0.253 |        0.167 |        0.420
       0.206 |        0.194 |        0.400
       0.226 |        0.203 |        0.429
       0.058 |        0.219 |        0.277
       0.211 |        0.286 |        0.497
       0.224 |        0.245 |        0.468
       0.446 |        0.253 |        0.698
       0.061 |        0.250 |        0.310
       0.086 |        0.242 |        0.328
       0.076 |        0.247 |        0.322
       0.211 |        0.235 |        0.445
       0.099 |        0.276 |        0.375
       0.230 |        0.243 |        0.473
       0.059 |        0.235 |        0.294
       0.317 |        0.235 |        0.553
       0.456 |        0.217 |        0.673
       0.228 |        0.227 |        0.455
       0.074 |        0.221 |        0.294
       0.098 |        0.223 |        0.321
       0.075 |        0.228 |        0.303
       0.011 |        0.221 |        0.232
       0.070 |        0.247 |        0.317
       0.070 |        0.264 |        0.334
       0.253 |        0.246 |        0.498
       0.058 |        0.267 |        0.325
       0.058 |        0.280 |        0.338
       0.059 |        0.294 |        0.353
       0.010 |        0.286 |        0.295
       0.070 |        0.258 |        0.328
       0.069 |        0.261 |        0.330
       0.044 |        0.247 |        0.291
       0.213 |        0.277 |        0.489
       0.163 |        0.260 |        0.422
       0.244 |        0.285 |        0.530
       0.247 |        0.274 |        0.520
       0.534 |        0.272 |        0.806
       0.652 |        0.246 |        0.899
       0.328 |        0.228 |        0.556
       0.370 |        0.232 |        0.603
       0.080 |        0.201 |        0.281
       0.299 |        0.204 |        0.503
       0.252 |        0.192 |        0.443
       0.058 |        0.193 |        0.251
       0.134 |        0.188 |        0.323
       0.187 |        0.186 |        0.374
       0.057 |        0.183 |        0.239
       0.214 |        0.174 |        0.389
       0.226 |        0.178 |        0.404
       0.219 |        0.192 |        0.411
       0.056 |        0.175 |        0.231
       0.212 |        0.189 |        0.401
       0.231 |        0.250 |        0.481
       0.026 |        0.215 |        0.241
       0.178 |        0.212 |        0.390
       0.211 |        0.262 |        0.473
       0.078 |        0.265 |        0.343
       0.217 |        0.271 |        0.488
       0.075 |        0.241 |        0.315
       0.100 |        0.259 |        0.359
       0.058 |        0.244 |        0.302
       0.224 |        0.244 |        0.468
       0.211 |        0.223 |        0.433
       0.195 |        0.221 |        0.416
       0.054 |        0.217 |        0.271
       0.247 |        0.197 |        0.444
       0.214 |        0.223 |        0.436
       0.040 |        0.207 |        0.247
       0.212 |        0.226 |        0.437
       0.050 |        0.209 |        0.259
       0.073 |        0.219 |        0.292
       0.160 |        0.192 |        0.352
       0.056 |        0.191 |        0.247
       0.055 |        0.188 |        0.243
       0.264 |        0.184 |        0.448
       0.167 |        0.198 |        0.365
       0.020 |        0.203 |        0.223
       0.021 |        0.188 |        0.209
       0.132 |        0.188 |        0.319
       0.222 |        0.170 |        0.392
       0.237 |        0.178 |        0.416
       0.055 |        0.177 |        0.232
       0.228 |        0.180 |        0.408
       0.129 |        0.175 |        0.303
       0.072 |        0.261 |        0.333
       0.217 |        0.207 |        0.424
       0.073 |        0.216 |        0.290
       0.031 |        0.186 |        0.217
       0.172 |        0.187 |        0.359
       0.301 |        0.178 |        0.478
       0.214 |        0.194 |        0.408
       0.420 |        0.177 |        0.597
       0.509 |        0.173 |        0.682
       0.168 |        0.182 |        0.350
       0.057 |        0.167 |        0.225
       0.056 |        0.165 |        0.221
       0.080 |        0.178 |        0.257
       0.219 |        0.187 |        0.407
       0.073 |        0.201 |        0.273
       0.054 |        0.172 |        0.226
       0.138 |        0.168 |        0.306
       0.054 |        0.164 |        0.218
       0.070 |        0.184 |        0.254
