  QueueTimes | ServiceTimes | SojournTimes

       0.053 |        0.089 |        0.142
       0.170 |        0.055 |        0.225
       0.077 |        0.045 |        0.122
       0.053 |        0.176 |        0.228
       0.052 |        0.312 |        0.364
       0.160 |        0.314 |        0.474
       0.052 |        0.215 |        0.268
       0.052 |        0.245 |        0.297
       0.069 |        0.282 |        0.351
       0.389 |        0.262 |        0.651
       0.326 |        0.263 |        0.588
       0.602 |        0.314 |        0.916
       0.626 |        0.229 |        0.855
       0.333 |        0.256 |        0.589
       0.053 |        0.232 |        0.285
       0.176 |        0.300 |        0.477
       0.447 |        0.222 |        0.669
       0.157 |        0.255 |        0.412
       0.165 |        0.273 |        0.438
       0.122 |        0.239 |        0.362
       0.114 |        0.230 |        0.344
       0.073 |        0.216 |        0.289
       0.209 |        0.202 |        0.410
       0.365 |        0.203 |        0.568
       0.134 |        0.214 |        0.348
       0.385 |        0.198 |        0.583
       0.052 |        0.213 |        0.265
       0.033 |        0.201 |        0.234
       0.067 |        0.218 |        0.285
       0.070 |        0.245 |        0.316
       0.165 |        0.256 |        0.420
       0.419 |        0.287 |        0.706
       0.249 |        0.216 |        0.465
       0.384 |        0.211 |        0.596
       0.388 |        0.225 |        0.613
       0.164 |        0.261 |        0.424
       0.309 |        0.204 |        0.513
       0.385 |        0.198 |        0.583
       0.053 |        0.215 |        0.268
       0.147 |        0.317 |        0.465
       0.498 |        0.201 |        0.699
       0.156 |        0.244 |        0.400
       0.072 |        0.274 |        0.346
       0.137 |        0.235 |        0.372
       0.320 |        0.206 |        0.526
       0.479 |        0.199 |        0.678
       0.567 |        0.214 |        0.781
       0.766 |        0.200 |        0.966
       0.501 |        0.236 |        0.737
       0.052 |        0.251 |        0.303
       0.067 |        0.237 |        0.304
       0.052 |        0.233 |        0.285
       0.052 |        0.199 |        0.251
       0.097 |        0.212 |        0.309
       0.291 |        0.267 |        0.558
       0.223 |        0.198 |        0.421
       0.015 |        0.205 |        0.220
       0.069 |        0.224 |        0.293
       0.243 |        0.208 |        0.451
       0.219 |        0.219 |        0.437
       0.073 |        0.202 |        0.275
       0.124 |        0.218 |        0.342
       0.004 |        0.209 |        0.213
       0.053 |        0.242 |        0.295
       0.058 |        0.259 |        0.317
       0.132 |        0.409 |        0.541
       0.287 |        0.239 |        0.526
       0.319 |        0.230 |        0.549
       0.547 |        0.202 |        0.748
       0.640 |        0.206 |        0.846
       0.327 |        0.217 |        0.543
       0.052 |        0.201 |        0.253
       0.165 |        0.256 |        0.421
       0.158 |        0.220 |        0.378
       0.111 |        0.241 |        0.352
       0.053 |        0.247 |        0.300
       0.052 |        0.252 |        0.304
       0.270 |        0.216 |        0.486
       0.314 |        0.201 |        0.515
       0.184 |        0.214 |        0.398
       0.429 |        0.210 |        0.639
       0.163 |        0.228 |        0.390
       0.163 |        0.241 |        0.404
       0.170 |        0.213 |        0.383
       0.166 |        0.213 |        0.380
       0.118 |        0.203 |        0.321
       0.349 |        0.262 |        0.610
       0.044 |        0.207 |        0.251
       0.002 |        0.200 |        0.202
       0.074 |        0.245 |        0.319
       0.052 |        0.248 |        0.300
       0.069 |        0.224 |        0.293
       0.329 |        0.206 |        0.535
       0.531 |        0.211 |        0.742
       0.066 |        0.269 |        0.336
       0.068 |        0.221 |        0.289
       0.324 |        0.216 |        0.540
       0.218 |        0.198 |        0.417
       0.062 |        0.213 |        0.275
       0.191 |        0.199 |        0.390
       0.052 |        0.207 |        0.259
       0.068 |        0.237 |        0.305
       0.179 |        0.211 |        0.390
       0.196 |        0.206 |        0.402
       0.261 |        0.218 |        0.480
       0.463 |        0.216 |        0.679
       0.052 |        0.233 |        0.284
       0.301 |        0.231 |        0.532
       0.486 |        0.211 |        0.698
       0.560 |        0.197 |        0.757
       0.470 |        0.196 |        0.667
       0.338 |        0.206 |        0.544
       0.507 |        0.263 |        0.769
       0.052 |        0.213 |        0.265
       0.052 |        0.201 |        0.253
       0.090 |        0.247 |        0.336
       0.101 |        0.239 |        0.340
       0.388 |        0.206 |        0.594
       0.618 |        0.212 |        0.830
       0.533 |        0.215 |        0.747
       0.114 |        0.202 |        0.317
       0.053 |        0.219 |        0.272
       0.245 |        0.211 |        0.456
       0.390 |        0.199 |        0.589
       0.157 |        0.226 |        0.383
       0.354 |        0.234 |        0.588
       0.059 |        0.210 |        0.269
       0.161 |        0.245 |        0.407
       0.298 |        0.218 |        0.516
       0.280 |        0.229 |        0.509
       0.165 |        0.232 |        0.397
       0.071 |        0.278 |        0.349
       0.095 |        0.247 |        0.342
       0.052 |        0.200 |        0.252
       0.176 |        0.303 |        0.479
       0.128 |        0.233 |        0.361
       0.303 |        0.209 |        0.512
       0.268 |        0.199 |        0.467
       0.052 |        0.201 |        0.253
       0.158 |        0.226 |        0.385
       0.102 |        0.217 |        0.319
       0.319 |        0.216 |        0.535
       0.053 |        0.225 |        0.277
       0.179 |        0.222 |        0.400
       0.070 |        0.238 |        0.308
       0.067 |        0.220 |        0.287
       0.066 |        0.227 |        0.293
       0.313 |        0.222 |        0.535
       0.455 |        0.216 |        0.672
       0.181 |        0.212 |        0.393
       0.199 |        0.214 |        0.413
       0.319 |        0.209 |        0.527
       0.481 |        0.253 |        0.733
       0.685 |        0.219 |        0.904
